"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00051886","CORTEZ, CO US","2007-11","0.08","0.6","42.9","60.0","25.9"
"USC00051886","CORTEZ, CO US","2007-12","2.50","6.1","28.6","38.6","18.7"
"USC00051886","CORTEZ, CO US","2008-01","2.78","14.6","22.5","36.7","8.4"
"USC00051886","CORTEZ, CO US","2008-02","2.00","21.1","29.9","42.4","17.4"
"USC00051886","CORTEZ, CO US","2008-03","0.10","1.5","38.7","53.7","23.7"
"USC00051886","CORTEZ, CO US","2008-04","0.52","2.4","45.6","62.1","29.1"
"USC00051886","CORTEZ, CO US","2008-05","0.60","0.1","54.6","70.5","38.6"
"USC00051886","CORTEZ, CO US","2008-06","0.31","0.0","65.9","84.1","47.8"
"USC00051886","CORTEZ, CO US","2008-07","1.07","0.0","73.8","90.6","57.1"
"USC00051886","CORTEZ, CO US","2008-08","0.47","0.0","72.3","88.8","55.8"
"USC00051886","CORTEZ, CO US","2008-09","0.62","0.0","63.6","80.6","46.5"
"USC00051886","CORTEZ, CO US","2008-10","0.53","0.0","51.9","69.1","34.6"
"USC00051886","CORTEZ, CO US","2008-11","0.99","2.6","42.0","56.5","27.6"
"USC00051886","CORTEZ, CO US","2008-12","1.91","22.2","29.3","41.4","17.2"
"USC00051886","CORTEZ, CO US","2009-01","0.70","4.9","30.5","43.9","17.1"
"USC00051886","CORTEZ, CO US","2009-02","0.76","8.2","36.3","49.9","22.7"
"USC00051886","CORTEZ, CO US","2009-03","0.17","3.7","42.4","57.8","26.9"
"USC00051886","CORTEZ, CO US","2009-04","1.04","4.3","46.2","61.3","31.0"
"USC00051886","CORTEZ, CO US","2009-06","0.53","0.0","64.4","79.7","49.2"
"USC00051886","CORTEZ, CO US","2009-07","0.42","0.0","74.4","92.2","56.5"
"USC00051886","CORTEZ, CO US","2009-08","0.37","0.0","70.5","88.6","52.4"
"USC00051886","CORTEZ, CO US","2009-09","0.85","0.0","64.2","80.7","47.7"
"USC00051886","CORTEZ, CO US","2009-10","0.52","3.4","47.6","63.2","31.9"
"USC00051886","CORTEZ, CO US","2009-11","0.86","2.5","41.6","56.6","26.7"
"USC00051886","CORTEZ, CO US","2009-12","1.53","15.4","23.5","37.0","10.1"
"USC00051886","CORTEZ, CO US","2010-01","1.78","16.3",,,
"USC00051886","CORTEZ, CO US","2010-02","1.72","18.6","29.7","42.1","17.3"
"USC00051886","CORTEZ, CO US","2010-03","0.97","11.1","38.1","51.8","24.4"
"USC00051886","CORTEZ, CO US","2010-04","0.83","6.9",,,"32.7"
"USC00051886","CORTEZ, CO US","2010-05","0.17","0.5","53.9","69.9","38.0"
"USC00051886","CORTEZ, CO US","2010-06","0.43","0.0","67.4","85.3","49.4"
"USC00051886","CORTEZ, CO US","2010-07","2.43","0.0","73.9","90.2","57.5"
"USC00051886","CORTEZ, CO US","2010-08","1.97","0.0","70.0","84.5","55.5"
"USC00051886","CORTEZ, CO US","2010-09","1.31","0.0","64.3","82.2","46.3"
"USC00051886","CORTEZ, CO US","2010-10","1.20","0.0","53.5","69.4","37.7"
"USC00051886","CORTEZ, CO US","2010-11","0.42","6.7","36.7","51.3","22.1"
"USC00051886","CORTEZ, CO US","2010-12","2.30","17.5","36.7","47.8","25.5"
"USC00051886","CORTEZ, CO US","2011-01","0.04",,"24.8","40.0","9.7"
"USC00051886","CORTEZ, CO US","2011-02","0.63",,"30.5","43.0","17.9"
"USC00051886","CORTEZ, CO US","2011-03","0.62",,"42.7","57.3","28.2"
"USC00051886","CORTEZ, CO US","2011-04","1.16",,,,"32.0"
"USC00051886","CORTEZ, CO US","2011-05","1.25",,"53.2","68.5","38.0"
"USC00051886","CORTEZ, CO US","2011-06","0.01",,"66.9","85.3","48.6"
"USC00051886","CORTEZ, CO US","2011-07","0.73",,"75.0","91.3","58.8"
"USC00051886","CORTEZ, CO US","2011-08","0.77",,"74.2","91.5","56.8"
"USC00051886","CORTEZ, CO US","2011-09","1.53",,"64.2","80.0","48.4"
"USC00051886","CORTEZ, CO US","2011-10","2.30",,"50.8","66.5","35.1"
"USC00051886","CORTEZ, CO US","2011-11","0.56",,"38.9","52.1","25.6"
"USC00051886","CORTEZ, CO US","2011-12","0.39",,"30.8","43.7","17.9"
"USC00051886","CORTEZ, CO US","2012-01","0.77",,"32.2","46.9","17.4"
"USC00051886","CORTEZ, CO US","2012-02","1.13",,"33.6","45.6","21.5"
"USC00051886","CORTEZ, CO US","2012-03","0.26",,,,"27.4"
"USC00051886","CORTEZ, CO US","2012-04","0.40",,"51.8","68.6","35.0"
"USC00051886","CORTEZ, CO US","2012-05","0.03",,"59.9","78.0","41.8"
"USC00051886","CORTEZ, CO US","2012-06","0.05",,"71.4","90.6","52.1"
"USC00051886","CORTEZ, CO US","2012-07","1.26",,"75.2","91.2","59.3"
"USC00051886","CORTEZ, CO US","2012-08","1.61",,"74.6","91.3","58.0"
"USC00051886","CORTEZ, CO US","2012-09","0.61",,"64.9","82.6","47.2"
"USC00051886","CORTEZ, CO US","2012-10","0.26",,"52.2","70.5","33.9"
"USC00051886","CORTEZ, CO US","2012-11","0.44",,"43.3","60.1","26.5"
"USC00051886","CORTEZ, CO US","2012-12","1.26","13.9","31.0","43.6","18.3"
"USC00051886","CORTEZ, CO US","2013-01","2.01",,"23.0","38.2","7.8"
"USC00051886","CORTEZ, CO US","2013-02","0.97",,"29.6","43.2","16.0"
"USC00051886","CORTEZ, CO US","2013-03","0.22",,,,
"USC00051886","CORTEZ, CO US","2013-04","0.22",,"47.9","64.4","31.5"
"USC00051886","CORTEZ, CO US","2013-05","0.67",,"57.8","74.1","41.5"
"USC00051886","CORTEZ, CO US","2013-06","0.00",,"70.3","89.7","50.9"
"USC00051886","CORTEZ, CO US","2013-07","0.86",,"76.3","91.8","60.8"
"USC00051886","CORTEZ, CO US","2013-08","3.69",,"72.3","87.6","56.9"
"USC00051886","CORTEZ, CO US","2013-09","2.92","0.0","64.8","79.0","50.7"
"USC00051886","CORTEZ, CO US","2013-10","1.16","0.0","47.9","63.6","32.1"
"USC00051886","CORTEZ, CO US","2013-11","1.19","1.4","40.0","53.4","26.7"
"USC00051886","CORTEZ, CO US","2013-12","0.36","5.9","27.2","40.1","14.4"
"USC00051886","CORTEZ, CO US","2014-01","0.08",,"32.4","48.3","16.5"
"USC00051886","CORTEZ, CO US","2014-02","0.86","7.4","37.0","51.0","23.0"
"USC00051886","CORTEZ, CO US","2014-03","0.31",,"41.8","57.8","25.8"
"USC00051886","CORTEZ, CO US","2014-04","0.92",,,,"32.2"
"USC00051886","CORTEZ, CO US","2014-05","0.94",,"56.5","71.8","41.3"
"USC00051886","CORTEZ, CO US","2014-06","0.00",,"67.5","86.0","49.1"
"USC00051886","CORTEZ, CO US","2014-07","0.56",,"76.1","93.0","59.2"
"USC00051886","CORTEZ, CO US","2014-08","1.68","0.0","70.4","85.5","55.3"
"USC00051886","CORTEZ, CO US","2014-09","2.21","0.0","66.2","82.2","50.1"
"USC00051886","CORTEZ, CO US","2014-10","0.15",,"53.9","70.1","37.7"
"USC00051886","CORTEZ, CO US","2014-11","0.53","0.2","40.6","55.6","25.7"
"USC00051886","CORTEZ, CO US","2014-12","0.80",,"33.7","45.7","21.7"
"USC00051886","CORTEZ, CO US","2015-01","1.02","7.1","33.7","46.7","20.7"
"USC00051886","CORTEZ, CO US","2015-02","1.55",,"38.9","53.7","24.1"
"USC00051886","CORTEZ, CO US","2015-03","0.84",,"45.5","61.3","29.8"
"USC00051886","CORTEZ, CO US","2015-04","0.70",,,,"33.5"
"USC00051886","CORTEZ, CO US","2015-05","2.42","0.0","54.5","68.4","40.7"
"USC00051886","CORTEZ, CO US","2015-06","2.33","0.0","68.8","85.4","52.3"
"USC00051886","CORTEZ, CO US","2015-07","2.51","0.0","71.1","86.1","56.1"
"USC00051886","CORTEZ, CO US","2015-08","1.26","0.0","72.2","88.2","56.2"
"USC00051886","CORTEZ, CO US","2015-09","0.54","0.0","66.3","83.5","49.1"
"USC00051886","CORTEZ, CO US","2015-10","1.86",,"55.8","70.6","41.0"
"USC00051886","CORTEZ, CO US","2015-11","1.57","7.6","39.5","53.3","25.7"
"USC00051886","CORTEZ, CO US","2015-12","1.64",,"28.2","41.5","14.8"
"USC00051886","CORTEZ, CO US","2016-01","1.49","19.4","26.1","40.8","11.3"
"USC00051886","CORTEZ, CO US","2016-02","0.56","4.9","35.5","50.9","20.1"
"USC00051886","CORTEZ, CO US","2016-03","0.28",,,,"26.8"
"USC00051886","CORTEZ, CO US","2016-04","0.86",,"48.2","63.2","33.2"
"USC00051886","CORTEZ, CO US","2016-05","0.87",,"55.7","71.3","40.0"
"USC00051886","CORTEZ, CO US","2016-06","0.47",,"72.4","90.5","54.3"
"USC00051886","CORTEZ, CO US","2016-07","0.96",,"73.9","91.3","56.5"
"USC00051886","CORTEZ, CO US","2016-08","2.98",,"69.5","84.3","54.7"
"USC00051886","CORTEZ, CO US","2016-09","1.09",,"63.0","79.4","46.7"
"USC00051886","CORTEZ, CO US","2016-10","0.07",,"55.5","73.1","38.0"
"USC00051886","CORTEZ, CO US","2016-11","1.75","3.2","43.8","57.9","29.7"
"USC00051886","CORTEZ, CO US","2016-12","1.45",,"32.4","44.5","20.3"
"USC00051886","CORTEZ, CO US","2017-01","2.94","25.5","30.1","40.3","19.9"
"USC00051886","CORTEZ, CO US","2017-02","1.21",,"40.4","51.9","28.9"
"USC00051886","CORTEZ, CO US","2017-03","0.42",,"45.9","61.9","30.0"
"USC00051886","CORTEZ, CO US","2017-04","0.86","3.9",,,"32.3"
"USC00051886","CORTEZ, CO US","2017-05","1.90","1.6","55.7","71.5","39.8"
"USC00051886","CORTEZ, CO US","2017-06","0.00",,"70.1","89.4","50.7"
"USC00051886","CORTEZ, CO US","2017-07","1.67",,"75.1","91.2","59.0"
"USC00051886","CORTEZ, CO US","2017-08","0.41",,,,
"USC00051886","CORTEZ, CO US","2017-09","1.80",,"64.6","81.0","48.2"
"USC00051886","CORTEZ, CO US","2017-10","0.05","0.0","51.9","69.9","34.0"
"USC00051886","CORTEZ, CO US","2017-11","0.02","0.2","46.5","62.7","30.3"
"USC00051886","CORTEZ, CO US","2017-12","0.02","0.5","35.0","51.8","18.2"
"USC00051886","CORTEZ, CO US","2018-01","0.75","2.4","34.2","49.2","19.3"
"USC00051886","CORTEZ, CO US","2018-02","0.31","2.3","36.1","50.3","22.0"
"USC00051886","CORTEZ, CO US","2018-03","0.23","2.5","41.4","57.2","25.8"
"USC00051886","CORTEZ, CO US","2018-04","0.42","0.1",,,
"USC00051886","CORTEZ, CO US","2018-05","0.48","0.0","60.9","78.2","43.6"
"USC00051886","CORTEZ, CO US","2018-06","0.89",,"69.8","88.7","50.9"
"USC00051886","CORTEZ, CO US","2018-07","2.41","0.0","76.2","93.2","59.3"
"USC00051886","CORTEZ, CO US","2018-08","0.66","0.0","73.2","90.2","56.2"
"USC00051886","CORTEZ, CO US","2018-09","0.36","0.0","66.5","84.1","48.8"
"USC00051886","CORTEZ, CO US","2018-10","1.39","0.0","51.1","64.4","37.8"
"USC00051886","CORTEZ, CO US","2018-11","0.38","2.9","36.7","52.6","20.8"
"USC00051886","CORTEZ, CO US","2018-12","1.82","16.7","29.4","42.7","16.0"
"USC00051886","CORTEZ, CO US","2019-01","1.62","8.6","27.6","40.0","15.1"
"USC00051886","CORTEZ, CO US","2019-02","2.20","16.6","29.9","42.0","17.8"
"USC00051886","CORTEZ, CO US","2019-03","2.85","5.7",,,
"USC00051886","CORTEZ, CO US","2019-04","0.97","5.1","51.5","66.3","36.8"
"USC00051886","CORTEZ, CO US","2019-05","2.20","3.7","51.9","65.6","38.2"
"USC00051886","CORTEZ, CO US","2019-06","0.35","0.0","65.7","82.8","48.5"
"USC00051886","CORTEZ, CO US","2019-07","0.45","0.0","74.2","91.5","56.8"
"USC00051886","CORTEZ, CO US","2019-08","0.57","0.0","73.4","91.6","55.2"
"USC00051886","CORTEZ, CO US","2019-09","0.15","0.0","66.3","83.1","49.4"
"USC00051886","CORTEZ, CO US","2019-10","0.05","0.7","46.8","65.1","28.5"
"USC00051886","CORTEZ, CO US","2019-11","1.15","6.0","40.6","56.5","24.7"
"USC00051886","CORTEZ, CO US","2019-12","1.73","7.7","31.3","42.5","20.1"
"USC00051886","CORTEZ, CO US","2020-01","0.49","3.9","30.4","43.2","17.7"
"USC00051886","CORTEZ, CO US","2020-02","0.12","0.0","34.1","48.9","19.4"
"USC00051886","CORTEZ, CO US","2020-03","1.22","4.9","43.3","56.3","30.3"
"USC00051886","CORTEZ, CO US","2020-04","0.11","0.0","49.4","66.0","32.7"
"USC00051886","CORTEZ, CO US","2020-05","0.17","0.0","61.1","79.5","42.7"
"USC00051886","CORTEZ, CO US","2020-06","0.38","0.0","69.7","87.5","51.8"
"USC00051886","CORTEZ, CO US","2020-07","2.04","0.0","73.4","90.3","56.4"
"USC00051886","CORTEZ, CO US","2020-08","0.07","0.0","75.8","94.0","57.6"
"USC00051886","CORTEZ, CO US","2020-09","0.94","0.0","63.9","82.1","45.8"
"USC00051886","CORTEZ, CO US","2020-10","0.02","0.5","53.2","72.9","33.5"
"USC00051886","CORTEZ, CO US","2020-11","0.34","1.9","42.8","58.0","27.6"
"USC00051886","CORTEZ, CO US","2020-12","0.61","6.2","28.0","42.5","13.4"
"USC00051886","CORTEZ, CO US","2021-01","0.79","11.5","29.8","42.9","16.6"
"USC00051886","CORTEZ, CO US","2021-02","1.29","13.8","31.9","45.5","18.3"
"USC00051886","CORTEZ, CO US","2021-03","1.30","16.6","40.4","53.8","27.1"
"USC00051886","CORTEZ, CO US","2021-04","0.04","0.1","49.9","66.5","33.3"
"USC00051886","CORTEZ, CO US","2021-05","0.19","0.0","58.8","76.7","40.9"
"USC00051886","CORTEZ, CO US","2021-06","0.52","0.0","71.5","90.3","52.7"
"USC00051886","CORTEZ, CO US","2021-07","1.82","0.0","76.5","92.3","60.8"
"USC00051886","CORTEZ, CO US","2021-08","1.14","0.0","72.0","89.0","55.0"
"USC00051886","CORTEZ, CO US","2021-09","1.39","0.0","65.7","83.2","48.3"
"USC00051886","CORTEZ, CO US","2021-10","1.46","1.4","49.9","64.2","35.5"
"USC00051886","CORTEZ, CO US","2021-11","0.12","0.0","43.5","59.8","27.3"
"USC00051886","CORTEZ, CO US","2021-12","2.33","6.5","33.7","45.8","21.7"
"USC00051886","CORTEZ, CO US","2022-01","0.05","0.5","32.2","46.6","17.9"
"USC00051886","CORTEZ, CO US","2022-02","0.79","9.4","32.4","47.8","17.0"
"USC00051886","CORTEZ, CO US","2022-03","1.03","4.3","41.0","55.6","26.4"
"USC00051886","CORTEZ, CO US","2022-04","0.33","2.5","48.7","65.4","32.0"
"USC00051886","CORTEZ, CO US","2022-05","0.02","0.0","59.3","76.4","42.1"
"USC00051886","CORTEZ, CO US","2022-06","0.62","0.0","69.4","86.3","52.5"
"USC00051886","CORTEZ, CO US","2022-07","0.53","0.0","76.1","91.8","60.4"
"USC00051886","CORTEZ, CO US","2022-08","1.22","0.0","73.5","88.5","58.4"
"USC00051886","CORTEZ, CO US","2022-09","0.83","0.0","69.0","85.5","52.4"
"USC00051886","CORTEZ, CO US","2022-10","1.00","0.3","51.5","67.2","35.7"
"USC00051886","CORTEZ, CO US","2022-11","0.53","2.3","36.1","50.5","21.7"
"USC00051886","CORTEZ, CO US","2022-12","1.69","10.5","32.1","44.7","19.4"
"USC00051886","CORTEZ, CO US","2023-01","2.82","26.9","28.8","40.7","16.8"
"USC00051886","CORTEZ, CO US","2023-02","1.32","12.7","29.1","43.1","15.1"
"USC00051886","CORTEZ, CO US","2023-03","3.42","9.7","36.0","47.2","24.7"
"USC00051886","CORTEZ, CO US","2023-04","0.15","1.8","47.1","62.9","31.4"
"USC00051886","CORTEZ, CO US","2023-05","1.22","0.0","59.4","75.5","43.3"
"USC00051886","CORTEZ, CO US","2023-06","0.42","0.0","64.7","81.6","47.7"
"USC00051886","CORTEZ, CO US","2023-07","0.11","0.0","76.4","95.2","57.6"
"USC00051886","CORTEZ, CO US","2023-08","2.98","0.0","73.7","89.1","58.3"
"USC00051886","CORTEZ, CO US","2023-09","1.74","0.0","65.4","81.6","49.1"
"USC00051886","CORTEZ, CO US","2023-10","0.49","0.0","53.7","70.9","36.4"
"USC00051886","CORTEZ, CO US","2023-11","0.52","1.7","41.6","56.9","26.4"
"USC00051886","CORTEZ, CO US","2023-12","0.65","2.9","34.7","47.9","21.5"
