year,state,cases
1993,Arizona,10
1993,Colorado,5
1993,Florida,1
1993,Idaho,1
1993,Kansas,2
1993,Louisiana,1
1993,Montana,2
1993,Nevada,4
1993,New Mexico,18
1993,North Dakota,1
1993,Pennsylvania,1
1993,Texas,1
1993,Wyoming,1
1994,Arizona,8
1994,California,3
1994,Colorado,1
1994,Idaho,1
1994,Indiana,1
1994,Kansas,1
1994,Montana,1
1994,Nevada,2
1994,New Mexico,5
1994,Rhode Island,1
1994,Texas,1
1994,Utah,5
1994,Washington,2
1995,California,2
1995,Colorado,1
1995,Nevada,4
1995,New Mexico,3
1995,New York,1
1995,North Carolina,1
1995,Oregon,3
1995,South Dakota,3
1995,Texas,2
1995,Washington,4
1996,Arizona,2
1996,California,1
1996,Colorado,1
1996,Idaho,2
1996,Illinois,1
1996,Kansas,2
1996,Montana,1
1996,New Mexico,1
1996,Oklahoma,1
1996,Oregon,1
1996,Texas,3
1996,Utah,2
1996,Washington,4
1997,California,1
1997,Colorado,2
1997,Idaho,1
1997,Iowa,1
1997,Kansas,2
1997,Montana,2
1997,Nevada,1
1997,New Mexico,2
1997,Pennsylvania,2
1997,South Dakota,1
1997,Texas,4
1997,Washington,3
1997,Wisconsin,1
1998,Arizona,3
1998,California,2
1998,Colorado,5
1998,Idaho,1
1998,Iowa,1
1998,Kansas,2
1998,Montana,3
1998,Nebraska,1
1998,Nevada,5
1998,New Mexico,6
1998,Utah,2
1998,Washington,2
1999,Arizona,3
1999,California,6
1999,Colorado,4
1999,Idaho,2
1999,Indiana,1
1999,Iowa,2
1999,Kansas,2
1999,Montana,2
1999,Nevada,1
1999,New Mexico,10
1999,Pennsylvania,2
1999,Texas,2
1999,Washington,5
1999,Wyoming,1
2000,Arizona,4
2000,California,8
2000,Colorado,7
2000,Kansas,1
2000,Montana,4
2000,New Mexico,10
2000,North Dakota,2
2000,South Dakota,1
2000,Texas,2
2000,Utah,5
2000,Vermont,1
2000,Washington,1
2001,Arizona,1
2001,Idaho,2
2001,Montana,2
2001,New Mexico,2
2001,Oklahoma,1
2001,Texas,1
2001,Utah,1
2001,Washington,1
2002,Arizona,3
2002,California,2
2002,Colorado,1
2002,Idaho,1
2002,Nebraska,4
2002,Nevada,1
2002,Oklahoma,1
2002,South Dakota,1
2002,Texas,3
2002,Utah,4
2002,Washington,1
2002,Wyoming,1
2003,California,5
2003,Colorado,5
2003,Idaho,1
2003,Iowa,1
2003,Montana,5
2003,Nebraska,1
2003,Nevada,1
2003,New Mexico,1
2003,Texas,6
2003,Utah,2
2003,Washington,2
2003,Wyoming,1
2004,Arizona,2
2004,California,3
2004,Colorado,4
2004,Montana,2
2004,Nevada,3
2004,New Mexico,4
2004,South Dakota,1
2004,Texas,1
2004,Utah,1
2004,Virginia,1
2004,Washington,2
2004,West Virginia,1
2004,Wyoming,2
2005,Arizona,6
2005,Colorado,11
2005,Illinois,1
2005,Montana,1
2005,Nebraska,1
2005,Nevada,1
2005,New Mexico,1
2005,Oregon,2
2005,South Dakota,2
2005,Texas,4
2005,Washington,3
2005,Wyoming,1
2006,Arizona,11
2006,California,2
2006,Colorado,6
2006,Idaho,1
2006,Montana,1
2006,Nevada,2
2006,New Mexico,8
2006,North Dakota,2
2006,Oregon,1
2006,South Dakota,2
2006,Texas,2
2006,Washington,3
2007,Arizona,6
2007,Colorado,6
2007,Louisiana,2
2007,Montana,2
2007,Nebraska,1
2007,New Mexico,3
2007,Oregon,1
2007,Pennsylvania,2
2007,South Dakota,1
2007,Texas,3
2007,Washington,2
2008,Arizona,1
2008,Colorado,6
2008,Idaho,2
2008,Iowa,1
2008,Kansas,1
2008,Louisiana,2
2008,Montana,2
2008,Nebraska,1
2008,New Mexico,1
2008,North Dakota,1
2008,Texas,1
2008,Utah,1
2008,Washington,2
2008,Wyoming,2
2009,Arizona,1
2009,Arkansas,1
2009,California,3
2009,Colorado,2
2009,Minnesota,1
2009,New Mexico,5
2009,North Dakota,1
2009,Oregon,2
2009,Utah,1
2009,Washington,3
2010,California,4
2010,Colorado,5
2010,Florida,1
2010,Idaho,3
2010,Kansas,1
2010,Nevada,1
2010,New Mexico,2
2010,Oregon,3
2010,Washington,2
2011,Arizona,2
2011,Colorado,3
2011,Idaho,1
2011,Iowa,1
2011,Maine,1
2011,Montana,2
2011,Nevada,2
2011,New Mexico,5
2011,New York,1
2011,Oregon,2
2011,South Dakota,1
2011,Washington,2
2011,Wyoming,1
2012,Arizona,1
2012,California,8
2012,Colorado,3
2012,Florida,1
2012,Illinois,1
2012,Iowa,1
2012,Montana,3
2012,New Mexico,1
2012,New York,1
2012,Oregon,2
2012,Pennsylvania,1
2012,South Dakota,1
2012,Utah,2
2012,Washington,2
2012,West Virginia,1
2012,Wyoming,1
2013,Arizona,5
2013,California,3
2013,Colorado,2
2013,Idaho,1
2013,Louisiana,1
2013,Montana,2
2013,New Mexico,3
2013,Oklahoma,2
2013,Oregon,1
2013,Texas,1
2014,Arizona,4
2014,California,1
2014,Colorado,6
2014,Connecticut,1
2014,Iowa,2
2014,Montana,1
2014,New Mexico,6
2014,North Dakota,2
2014,Oklahoma,1
2014,Oregon,1
2014,Texas,5
2014,Utah,3
2014,Washington,1
2014,Wyoming,1
2015,Arizona,2
2015,California,2
2015,Colorado,6
2015,Illinois,1
2015,Indiana,1
2015,Montana,4
2015,New Mexico,1
2015,North Dakota,1
2015,Texas,2
2015,Utah,2
2015,Washington,1
2015,Wisconsin,1
2015,Wyoming,1
2016,Arizona,3
2016,California,1
2016,Colorado,11
2016,Illinois,1
2016,Indiana,1
2016,Iowa,1
2016,Michigan,1
2016,Montana,1
2016,New Mexico,8
2016,North Dakota,1
2016,Oregon,1
2016,Tennessee,1
2016,Utah,2
2016,Vermont,1
2016,Washington,1
2016,Wisconsin,2
2016,Wyoming,1
2017,Arizona,2
2017,California,5
2017,Colorado,5
2017,Kansas,1
2017,Minnesota,1
2017,Nevada,2
2017,New Mexico,5
2017,New York,2
2017,Oregon,1
2017,Tennessee,1
2017,Texas,2
2017,Utah,2
2017,Washington,5
2017,Wisconsin,1
2017,Wyoming,1
2018,California,5
2018,Colorado,5
2018,Delaware,1
2018,District of Columbia,2
2018,Idaho,1
2018,North Dakota,1
2018,Oklahoma,1
2018,Oregon,1
2018,Texas,1
2018,Utah,1
2018,Washington,2
2018,Wyoming,2
2019,California,4
2019,Colorado,1
2019,Idaho,1
2019,Illinois,1
2019,Maryland,2
2019,Nevada,2
2019,New Hampshire,1
2019,New Mexico,3
2019,Oklahoma,1
2019,South Dakota,2
2019,Utah,1
2019,Washington,1
2020,Arizona,4
2020,California,2
2020,Colorado,1
2020,Kansas,2
2020,Nevada,1
2020,New Mexico,1
2020,New York,1
2020,Oregon,2
2020,South Dakota,1
2020,Utah,1
2020,Wyoming,1
2021,California,1
2021,Colorado,3
2021,Idaho,1
2021,Iowa,1
2021,Michigan,1
2021,Montana,3
2021,Nevada,1
2021,New Mexico,1
2021,North Dakota,2
2021,Texas,1
2021,Washington,1
2022,Arizona,1
2022,Louisiana,1
2022,Nevada,1
2022,New Mexico,3
2022,North Dakota,1
2022,Oklahoma,1
2022,Oregon,1
2022,Pennsylvania,1
2022,South Dakota,1
2022,Utah,1
2022,Wyoming,1
2023,Arizona,6
2023,California,1
2023,Colorado,2
2023,Idaho,1
2023,Louisiana,1
2023,Nevada,3
2023,New Mexico,7
2023,Oregon,1
2023,Utah,2
2023,Washington,2
